request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_80,120735.78,not_affordable,not_recommended,none,2025-03-15,none,"{""event_id"": null, ""action"": ""none"", ""new_amount"": null, ""new_date"": null, ""delay_days"": null, ""confidence"": 0.0}"
request_81,2076,affordable_now,full_payment,2026-07-03:2076,2026-07-03,none,"[ { ""explanation"": ""A full payment of 2076.0 USD was made because the safe amount to pay was available while maintaining the required minimum balance."" } ]"
request_82,424.62,affordable_later,wait,2025-02-15:1405.2,2025-02-15,none,"{""event_id"": null, ""action"": ""none"", ""new_amount"": null, ""new_date"": null, ""delay_days"": null, ""confidence"": 0.0}"
request_83,0,not_affordable,not_recommended,none,,none,"{""event_id"": null, ""action"": ""none"", ""new_amount"": null, ""new_date"": null, ""delay_days"": null, ""confidence"": 0.0}"
request_84,23986.49,affordable_later,wait,2026-06-15:95400,2026-06-15,none,"{""event_id"": null, ""action"": ""none"", ""new_amount"": null, ""new_date"": null, ""delay_days"": null, ""confidence"": 0.0}"
request_85,374061.81,not_affordable,not_recommended,none,,none,"{""event_id"": null, ""action"": ""none"", ""new_amount"": null, ""new_date"": null, ""delay_days"": null, ""confidence"": 0.0}"
request_86,46300,affordable_now,full_payment,2025-08-03:46300,2025-08-03,none,"{ ""explanation"": ""You decided on a full payment because the safe amount to pay today is 46300.0 INR, which is currently affordable given your available balance of 228639.5 INR and minimum balance requirement of 84900.0 INR."" }"
request_87,0,not_affordable,not_recommended,none,,none,"[ { ""explanation"": ""The payment of 0.0 INR was deemed not affordable because the safe amount available to pay today is 0.0 INR, leaving the current balance below the required minimum."" } ]"
request_88,10497.62,affordable_with_plan,installments,2024-06-14:9045.23|2024-07-15:9045.23|2024-08-15:9045.23,2024-07-15,none,"{""event_id"": null, ""action"": ""none"", ""new_amount"": null, ""new_date"": null, ""delay_days"": null, ""confidence"": 0.0}"
request_89,9226703.57,affordable_with_plan,installments,2025-11-18:4768746.67|2025-12-16:4768746.67|2026-01-13:4768746.67,2025-11-15,none,"{""event_id"": null, ""action"": ""none"", ""new_amount"": null, ""new_date"": null, ""delay_days"": null, ""confidence"": 0.0}"
request_90,2560,affordable_now,full_payment,2026-07-06:2560,2026-07-06,none,"[ { ""explanation"": ""A full payment of 2560.0 ZAR was made because it is safe to pay today, keeping the balance above the required minimum."" } ]"
request_91,370.74,affordable_later,wait,2024-11-15:1927.2,2024-11-15,none,"{""event_id"": null, ""action"": ""none"", ""new_amount"": null, ""new_date"": null, ""delay_days"": null, ""confidence"": 0.0}"
request_92,34034,affordable_now,full_payment,2025-02-05:34034,2025-02-05,none,"{ ""explanation"": ""A full payment of 34034.0 ZAR was made because the safe amount to pay today was sufficient while maintaining the required minimum balance of 28100.0 ZAR from the current available balance of 78664.47 ZAR."" }"
request_93,1729.2,affordable_now,full_payment,2026-04-07:1729.2,2026-04-07,none,"[ { ""explanation"": ""Because the safe amount to pay is 1729.2 USD, a full payment decision was made since funds are affordable now."" } ]"
request_94,31.54,not_affordable,not_recommended,none,,none,"{""event_id"": null, ""action"": ""none"", ""new_amount"": null, ""new_date"": null, ""delay_days"": null, ""confidence"": 0.0}"
request_95,45484.22,not_affordable,not_recommended,none,,none,"{""event_id"": null, ""action"": ""none"", ""new_amount"": null, ""new_date"": null, ""delay_days"": null, ""confidence"": 0.0}"
request_96,0,not_affordable,not_recommended,none,,none,"{""event_id"": null, ""action"": ""none"", ""new_amount"": null, ""new_date"": null, ""delay_days"": null, ""confidence"": 0.0}"
request_97,1833.87,affordable_with_plan,installments,2024-03-19:8145.28|2024-04-19:8145.28|2024-05-20:8145.28,2024-03-15,none,"{""event_id"": null, ""action"": ""none"", ""new_amount"": null, ""new_date"": null, ""delay_days"": null, ""confidence"": 0.0}"
request_98,6623.35,not_affordable,not_recommended,none,,none,"{""event_id"": null, ""action"": ""none"", ""new_amount"": null, ""new_date"": null, ""delay_days"": null, ""confidence"": 0.0}"
request_99,18062,affordable_now,full_payment,2026-07-04:18062,2026-07-04,none,"{ ""explanation"": ""A full payment of 18062.0 ZAR was decided as affordable today because the current available balance of 86706.58 ZAR allows for this expense while still maintaining the minimum required balance of 49100.0 ZAR."" }"
request_100,27160.7,affordable_with_plan,installments,2024-06-13:12866.19|2024-07-14:12866.19|2024-08-14:12866.19,2024-06-15,none,"{""event_id"": null, ""action"": ""none"", ""new_amount"": null, ""new_date"": null, ""delay_days"": null, ""confidence"": 0.0}"
request_101,143500,affordable_now,full_payment,2025-11-03:143500,2025-11-03,none,"{ ""explanation"": ""Based on a safe amount of 143500.0 INR available today, a full payment decision was made since the current available balance of 465868.5 INR comfortably supports it while maintaining the minimum required balance of 187400.0 INR."" }"
request_102,1487.28,not_affordable,not_recommended,none,,none,"{""event_id"": null, ""action"": ""none"", ""new_amount"": null, ""new_date"": null, ""delay_days"": null, ""confidence"": 0.0}"
request_103,8585.3,not_affordable,not_recommended,none,,none,"{""event_id"": null, ""action"": ""none"", ""new_amount"": null, ""new_date"": null, ""delay_days"": null, ""confidence"": 0.0}"
request_104,17204,affordable_now,full_payment,2025-02-04:17204,2025-02-04,none,"{ ""explanation"": ""A full payment of 17204.0 ZAR was decided as affordable because it matches the safe amount available today, while leaving the current available balance above the minimum balance to keep."" }"
request_105,53168.01,affordable_now,full_payment,2026-06-08:53500,2026-06-08,reduce_to:event_9720:1632,"{""event_id"": null, ""action"": ""none"", ""new_amount"": null, ""new_date"": null, ""delay_days"": null, ""confidence"": 0.0}"
request_106,425.44,affordable_later,wait,2024-12-15:2207.7,2024-12-15,none,"{""event_id"": null, ""action"": ""none"", ""new_amount"": null, ""new_date"": null, ""delay_days"": null, ""confidence"": 0.0}"
request_107,0,not_affordable,not_recommended,none,,none,"{ ""explanation"": ""You decided not to make a payment because your safe spending amount today is 0.0 EUR, which leaves you below the minimum balance to keep of 1600.0 EUR given your current available balance of 5054.52 EUR."" }"
request_108,3006.31,affordable_later,wait,2026-08-15:55308,2026-08-15,none,"{""event_id"": null, ""action"": ""none"", ""new_amount"": null, ""new_date"": null, ""delay_days"": null, ""confidence"": 0.0}"
request_109,460.56,affordable_with_plan,installments,2024-03-18:645.98|2024-04-18:645.98|2024-05-19:645.98,2024-03-15,none,"{""event_id"": null, ""action"": ""none"", ""new_amount"": null, ""new_date"": null, ""delay_days"": null, ""confidence"": 0.0}"
request_110,22352,affordable_with_plan,installments,2025-08-06:7748.69|2025-09-03:7748.69|2025-10-01:7748.69,2025-08-06,none,"{ ""explanation"": ""Because the safe amount to pay today is 22352.0 ZAR while maintaining the minimum balance of 11200.0 ZAR from the available balance of 61229.53 ZAR, the payment has been arranged through affordable installments."" }"
request_111,16625000,affordable_now,full_payment,2026-04-03:16625000,2026-04-03,none,"{ ""explanation"": ""A full payment of IDR 16,625,000.0 was made today because it is affordable based on the current available balance and minimum balance requirement."" }"
request_112,0,not_affordable,not_recommended,none,,none,"[ { ""explanation"": ""The financial decision to decline the payment was made because the safe amount to pay today is 0.0 EUR, as the current available balance of 1026.0 EUR must remain above the minimum balance of 500.0 EUR."" } ]"
request_113,19485.85,affordable_later,wait,2026-11-15:36500,2026-11-15,none,"{""event_id"": null, ""action"": ""none"", ""new_amount"": null, ""new_date"": null, ""delay_days"": null, ""confidence"": 0.0}"
request_114,0,not_affordable,not_recommended,none,,none,"{""event_id"": null, ""action"": ""none"", ""new_amount"": null, ""new_date"": null, ""delay_days"": null, ""confidence"": 0.0}"
request_115,14552.2,affordable_later,wait,2024-11-15:80500,2024-11-15,none,"{""event_id"": null, ""action"": ""none"", ""new_amount"": null, ""new_date"": null, ""delay_days"": null, ""confidence"": 0.0}"
request_116,7550.39,not_affordable,not_recommended,none,,none,"{""event_id"": null, ""action"": ""none"", ""new_amount"": null, ""new_date"": null, ""delay_days"": null, ""confidence"": 0.0}"
request_117,813.92,affordable_later,wait,2026-07-15:880,2026-07-15,none,"{""event_id"": null, ""action"": ""none"", ""new_amount"": null, ""new_date"": null, ""delay_days"": null, ""confidence"": 0.0}"
request_118,636.4,affordable_with_plan,installments,2024-12-07:255.87|2025-01-07:255.87|2025-02-07:255.87,2025-02-15,reduce_to:event_10914:14|stop:event_10912,"{""event_id"": null, ""action"": ""none"", ""new_amount"": null, ""new_date"": null, ""delay_days"": null, ""confidence"": 0.0}"
request_119,0,not_affordable,not_recommended,none,,none,"{""event_id"": null, ""action"": ""none"", ""new_amount"": null, ""new_date"": null, ""delay_days"": null, ""confidence"": 0.0}"
request_120,7714000,affordable_now,full_payment,2026-04-06:7714000,2026-04-06,none,"{ ""explanation"": ""A full payment of IDR 7714000.0 was made today because it is completely affordable based on your current safe balance of IDR 7714000.0, which leaves your required minimum balance intact."" }"
request_121,633.6,affordable_now,full_payment,2024-03-03:633.6,2024-03-03,none,"{ ""explanation"": ""Because the safe amount to pay today is 633.6 USD, the full payment decision was categorized as affordable now."" }"
request_122,20558000,affordable_with_plan,installments,2025-08-05:7126773.33|2025-09-02:7126773.33|2025-09-30:7126773.33,2025-08-05,none,"{ ""explanation"": ""Because the safe amount to pay is 20558000.0 IDR, the payment was deemed affordable with a plan using installments."" }"
request_123,243750.5,not_affordable,not_recommended,none,,none,"{""event_id"": null, ""action"": ""none"", ""new_amount"": null, ""new_date"": null, ""delay_days"": null, ""confidence"": 0.0}"
request_124,1438.37,affordable_with_plan,installments,2024-06-11:1076.12|2024-07-12:1076.12|2024-08-12:1076.12,2024-06-15,none,"{""event_id"": null, ""action"": ""none"", ""new_amount"": null, ""new_date"": null, ""delay_days"": null, ""confidence"": 0.0}"
request_125,6268.06,affordable_later,wait,2025-11-15:6468,2025-11-15,none,"{""event_id"": null, ""action"": ""none"", ""new_amount"": null, ""new_date"": null, ""delay_days"": null, ""confidence"": 0.0}"
request_126,13263.21,not_affordable,not_recommended,none,,none,"{""event_id"": null, ""action"": ""none"", ""new_amount"": null, ""new_date"": null, ""delay_days"": null, ""confidence"": 0.0}"
request_127,0,not_affordable,not_recommended,none,,none,"{ ""explanation"": ""The payment was deemed not affordable and not recommended because the safe amount to pay today is 0.0 ZAR, with a current available balance of 66058.0 ZAR against a minimum balance to keep of 41000.0 ZAR."" }"
request_128,25168,affordable_now,full_payment,2025-02-07:25168,2025-02-07,none,"{ ""explanation"": ""Because the safe amount to pay today is 25168.0 ZAR and the current available balance is 80711.7 ZAR while maintaining a minimum balance of 42600.0 ZAR, you can afford a full payment now."" }"
request_129,110.47,not_affordable,not_recommended,none,,none,"{""event_id"": null, ""action"": ""none"", ""new_amount"": null, ""new_date"": null, ""delay_days"": null, ""confidence"": 0.0}"
request_130,389.23,affordable_later,wait,2025-02-15:1978.8,2025-02-15,none,"{""event_id"": null, ""action"": ""none"", ""new_amount"": null, ""new_date"": null, ""delay_days"": null, ""confidence"": 0.0}"
request_131,1336.4,affordable_with_plan,installments,2025-05-06:643.14|2025-06-03:643.14|2025-07-01:643.14,2025-06-15,none,"{""event_id"": null, ""action"": ""none"", ""new_amount"": null, ""new_date"": null, ""delay_days"": null, ""confidence"": 0.0}"
request_132,285,affordable_later,wait,2026-01-15:379.86,2026-01-15,none,"{""event_id"": null, ""action"": ""none"", ""new_amount"": null, ""new_date"": null, ""delay_days"": null, ""confidence"": 0.0}"
request_133,0,not_affordable,not_recommended,none,,none,"{""event_id"": null, ""action"": ""none"", ""new_amount"": null, ""new_date"": null, ""delay_days"": null, ""confidence"": 0.0}"
request_134,4700753.45,affordable_later,wait,2025-08-15:21831000,2025-08-15,none,"{""event_id"": null, ""action"": ""none"", ""new_amount"": null, ""new_date"": null, ""delay_days"": null, ""confidence"": 0.0}"
request_135,293.99,affordable_now,full_payment,2026-07-06:304.8,2026-07-06,stop:event_12413,"{""event_id"": null, ""action"": ""none"", ""new_amount"": null, ""new_date"": null, ""delay_days"": null, ""confidence"": 0.0}"
request_136,496.37,affordable_later,wait,2024-06-15:560.4,2024-06-15,none,"{""event_id"": null, ""action"": ""none"", ""new_amount"": null, ""new_date"": null, ""delay_days"": null, ""confidence"": 0.0}"
request_137,24928.9,not_affordable,not_recommended,none,,none,"{""event_id"": null, ""action"": ""none"", ""new_amount"": null, ""new_date"": null, ""delay_days"": null, ""confidence"": 0.0}"
request_138,876.89,affordable_with_plan,installments,2026-04-07:435.74|2026-05-05:435.74|2026-06-02:435.74,2026-04-15,none,"{""event_id"": null, ""action"": ""none"", ""new_amount"": null, ""new_date"": null, ""delay_days"": null, ""confidence"": 0.0}"
request_139,1295.72,affordable_with_plan,installments,2024-09-07:802.88|2024-10-08:802.88|2024-11-08:802.88,2024-09-15,none,"{""event_id"": null, ""action"": ""none"", ""new_amount"": null, ""new_date"": null, ""delay_days"": null, ""confidence"": 0.0}"
request_140,0,not_affordable,not_recommended,none,,none,"{ ""explanation"": ""With a current available balance of 34679.0 ZAR and a required minimum balance of 21600.0 ZAR, the safe amount to pay today was determined to be 0.0 ZAR, resulting in the decision that the payment was not affordable."" }"
request_141,22002.65,not_affordable,not_recommended,none,,none,"{""event_id"": null, ""action"": ""none"", ""new_amount"": null, ""new_date"": null, ""delay_days"": null, ""confidence"": 0.0}"
request_142,823.82,not_affordable,not_recommended,none,,none,"{""event_id"": null, ""action"": ""none"", ""new_amount"": null, ""new_date"": null, ""delay_days"": null, ""confidence"": 0.0}"
request_143,3080.22,affordable_later,wait,2025-07-15:12584,2025-07-15,none,"{""event_id"": null, ""action"": ""none"", ""new_amount"": null, ""new_date"": null, ""delay_days"": null, ""confidence"": 0.0}"
request_144,0,not_affordable,not_recommended,none,,none,"{ ""explanation"": ""The payment was not recommended because the safe amount to pay today is 0.0 USD, leaving your available balance below the required minimum balance to keep of 600.0 USD."" }"
request_145,24072.18,affordable_with_plan,installments,2024-03-20:75365.33|2024-04-20:75365.33|2024-05-21:75365.33,2024-05-15,reduce_to:event_13409:3335|reduce_to:event_13341:2920|stop:event_13342,"{""event_id"": null, ""action"": ""none"", ""new_amount"": null, ""new_date"": null, ""delay_days"": null, ""confidence"": 0.0}"
request_146,18214.49,affordable_later,wait,2025-10-15:449400,2025-10-15,none,"{""event_id"": null, ""action"": ""none"", ""new_amount"": null, ""new_date"": null, ""delay_days"": null, ""confidence"": 0.0}"
request_147,0,not_affordable,not_recommended,none,,none,"{""event_id"": null, ""action"": ""none"", ""new_amount"": null, ""new_date"": null, ""delay_days"": null, ""confidence"": 0.0}"
request_148,8317.57,affordable_with_plan,installments,2024-06-14:7710.56|2024-07-15:7710.56|2024-08-15:7710.56,2024-07-15,none,"{""event_id"": null, ""action"": ""none"", ""new_amount"": null, ""new_date"": null, ""delay_days"": null, ""confidence"": 0.0}"
request_149,22500.15,affordable_with_plan,installments,2025-11-18:12706.03|2025-12-16:12706.03|2026-01-13:12706.03,2025-11-15,none,"{""event_id"": null, ""action"": ""none"", ""new_amount"": null, ""new_date"": null, ""delay_days"": null, ""confidence"": 0.0}"
request_150,0,not_affordable,not_recommended,none,,none,"{""event_id"": null, ""action"": ""none"", ""new_amount"": null, ""new_date"": null, ""delay_days"": null, ""confidence"": 0.0}"
request_151,26999000,affordable_now,full_payment,2024-09-03:26999000,2024-09-03,none,"{ ""explanation"": ""A full payment of 26999000.0 IDR was made because the current available balance of 83998265.0 IDR exceeded the minimum balance to keep of 31633600.0 IDR, making it affordable now."" }"
request_152,11144.89,not_affordable,not_recommended,none,2025-04-15,none,"{""event_id"": null, ""action"": ""none"", ""new_amount"": null, ""new_date"": null, ""delay_days"": null, ""confidence"": 0.0}"
request_153,0,not_affordable,not_recommended,none,,none,"{""event_id"": null, ""action"": ""none"", ""new_amount"": null, ""new_date"": null, ""delay_days"": null, ""confidence"": 0.0}"
request_154,1625.8,affordable_with_plan,installments,2024-12-04:563.61|2025-01-04:563.61|2025-02-04:563.61,2024-12-04,none,"{ ""explanation"": ""Because the safe amount to pay is 1625.8 EUR, the payment was decided to be affordable using installments."" }"
request_155,92071.17,not_affordable,not_recommended,none,,none,"{""event_id"": null, ""action"": ""none"", ""new_amount"": null, ""new_date"": null, ""delay_days"": null, ""confidence"": 0.0}"
